_id,session,run,meanScore,maxScore,alpha,gamma,exploreRate,batchSize,bufferSize
647d3f81bf13ef8b3e14eb70,2,24,22.75,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb71,2,25,22.8,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb72,2,26,22.5,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb73,2,27,22.25925925925926,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb74,2,28,22.392857142857142,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb75,2,29,22.448275862068964,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb76,2,30,22.333333333333332,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb77,2,31,22.06451612903226,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb78,2,32,22.34375,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb79,2,33,22.151515151515152,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb7a,2,34,22.08823529411765,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb7b,2,35,21.771428571428572,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb7c,2,36,21.583333333333332,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb7d,2,37,21.972972972972972,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb7e,2,38,21.842105263157894,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb7f,2,39,21.58974358974359,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb80,2,40,21.475,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb81,2,41,21.341463414634145,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb82,2,42,21.095238095238095,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb83,2,43,21.13953488372093,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb84,2,44,20.886363636363637,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb85,2,45,20.822222222222223,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb86,2,46,20.847826086956523,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb87,2,47,20.70212765957447,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb88,2,48,20.75,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb89,2,49,20.632653061224488,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb8a,2,50,20.42,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb8b,2,51,20.294117647058822,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb8c,2,52,20.51923076923077,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb8d,2,53,20.30188679245283,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb8e,2,54,20.296296296296298,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb8f,2,55,20.654545454545456,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb90,2,56,20.696428571428573,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb91,2,57,21.12280701754386,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb92,2,58,21.24137931034483,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb93,2,59,21.16949152542373,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb94,2,60,21.083333333333332,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb95,2,61,21.34426229508197,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb96,2,62,21.322580645161292,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb97,2,63,21.142857142857142,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb98,2,64,21.109375,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb99,2,65,21.43076923076923,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb9a,2,66,21.303030303030305,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb9b,2,67,21.28358208955224,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb9c,2,68,21.176470588235293,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb9d,2,69,21.08695652173913,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb9e,2,70,21.014285714285716,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eb9f,2,71,21.464788732394368,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eba0,2,72,21.38888888888889,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eba1,2,73,21.315068493150687,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eba2,2,74,21.2027027027027,64,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eba3,2,75,21.96,78,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eba4,2,76,21.842105263157894,78,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eba5,2,77,22.155844155844157,78,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eba6,2,78,22.025641025641026,78,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eba7,2,79,21.936708860759495,78,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eba8,2,80,21.8625,78,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14eba9,2,81,21.80246913580247,78,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14ebaa,2,82,21.804878048780488,78,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14ebab,2,83,21.734939759036145,78,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14ebac,2,84,21.86904761904762,78,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14ebad,2,85,21.764705882352942,78,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14ebae,2,86,21.662790697674417,78,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14ebaf,2,87,22.183908045977013,78,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14ebb0,2,88,22.079545454545453,78,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14ebb1,2,89,22.02247191011236,78,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14ebb2,2,90,21.944444444444443,78,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14ebb3,2,91,21.802197802197803,78,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14ebb4,2,92,21.717391304347824,78,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14ebb5,2,93,21.70967741935484,78,0.01,0.9,95.0,40,10000
